make,colour,dateOfManufacture,vin,registrationArea
audi,black,29-6-2015,8G9YPN22PAL4BPBKL,london
vw,blue,24-7-2012,GVFFMAHYWN5569PP8,london
mercedes,blue,13-11-2022,MZWU8T2HPSL39TWPD,london
mercedes,blue,14-3-2021,PC7HPVMNWB0LPPN1F,birmingham
vw,black,16-02-2012,PNLAJ4K1HZBBYDNDM,cardiff
mercedes,white,19-3-2010,PVHCM8RPB4B8ZPRP3,london
audi,white,27-8-2010,PXTDKN7ANVPMXGPP5,london
bmw,blue,6-10-2010,U8JBKXKM6MP9J0PFP,london
bmw,red,23-5-2020,S7XPSPNPPP6P1PFGN,swansea
audi,red,10-9-2023,4P5K0PE2N8PSNPFCX,london
audi,blue,02-2-2011,ZNPKXMSZPM91V3PPF,cardiff
bmw,white,16-11-2019,TKUELG3SP1XRYPNH1,cardiff
bmw,white,9-12-2012,PL6REJPPPPTPJJMMC,london
vw,blue,05-05-2022,PPYLP4LPXP9F3SHJ4,swansea
bmw,black,06-1-2012,SP6PPN7PAU9K3SBMM,london
vw,red,20-05-2022,PJLAC9AE9R2PG6PJ3,cardiff
vw,black,16-1-2019,7P11NN03LNDNDZFRD,london
audi,blue,29-06-2013,36PNW8UPP6CGAL8PP,birmingham
vw,red,14-02-2020,3KNPPU5PRF6PRFJZS,cardiff
vw,red,22-10-2023,7S5MB9JRRPFEWVPMB,birmingham
vw,black,9-1-2014,HPJP4BBMFLPVRLPLN,cardiff
audi,blue,05-9-2014,7BX0VGM9WRLSPP504,birmingham
mercedes,blue,22-05-2023,2M1ZXP4YPRPKPZ7MZ,cardiff
bmw,blue,13-11-2019,3LNMB5PP8KPPFM799,london
vw,black,26-01-2011,DZPDPSUZ7YAW9ZZ5V,cardiff
vw,white,24-2-2022,MWH453LXGUW2V4PK8,swansea
bmw,white,19-07-2010,KPF30KWS1PP10AX2H,swansea
audi,white,12-11-2016,PUGV7V6LK6PLWMPDD,birmingham
bmw,white,9-5-2024,9PNYHLNMJ217NN6KB,london
audi,blue,27-06-2014,9L3KUP5CPP5R4PPUK,cardiff
bmw,red,07-12-2023,KKWPUZDMPPPAXUL7L,birmingham
audi,black,3-10-2016,RNP47DPTYHRM6PP7P,birmingham
audi,black,27-3-2012,PZWT7W5PELKKPSL7V,london
vw,red,31-10-2013,S3PP9KJMWDVFZKXVW,london
vw,blue,11-1-2023,P6CPTAN61SG0LC4JP,london
audi,white,19-07-2024,PS7MPVBPAP9WMPPTT,london
bmw,black,6-10-2017,APX99P0PL2P9RFZPL,cardiff
audi,red,10-11-2015,PPLUUGVKB1JEFKM37,birmingham
audi,red,04-06-2024,B9PPM9KANL6NBXDBL,swansea